Date,Annacis,Nw. Langley,Iona,Lion's Gate,Lulu,Victoria,Nanaimo,Comox Valley,Kamloops,Kelowna,Penticton,Prince George
2022-05-17,,,,,,,,,,,,
2022-05-18,,,,,,,,,,,,
2022-05-19,,,,,,,,,,,,
2022-05-20,,,,,,,,,,,,
2022-05-21,,,,,,,,,,,,
2022-05-22,,,,,,,,,,,,
2022-05-23,,,,,,,,,,,,
2022-05-24,,,,,,,,,,,,
2022-05-25,351874.0,5831.0,238545.0,19706.0,58616.0,,,,,,,
2022-05-26,360391.6666666667,4846.0,221932.33333333334,17727.333333333332,55906.666666666664,,,,,,,
2022-05-27,368909.3333333333,3861.0,205319.66666666666,15748.666666666666,53197.333333333336,,,,,,,
2022-05-28,377427.0,2876.0,188707.0,13770.0,50488.0,,,,,,,
2022-05-29,321167.5,4453.0,195360.5,13558.0,57792.5,,,,,,,
2022-05-30,264908.0,6030.0,202014.0,13346.0,65097.0,,,,,,,
2022-05-31,260059.0,4857.5,141823.0,11709.0,60194.0,,,,,,,
2022-06-01,255210.0,3685.0,81632.0,10072.0,55291.0,,,,,,,
2022-06-02,279630.0,3461.6666666666665,112909.33333333333,12356.666666666666,56593.0,,,,,,,
2022-06-03,304050.0,3238.3333333333335,144186.66666666666,14641.333333333332,57895.0,,,,,,,
2022-06-04,328470.0,3015.0,175464.0,16926.0,59197.0,,,,,,,
2022-06-05,275418.0,2162.0,163599.5,16898.5,52401.5,,,,,,,
2022-06-06,222366.0,1309.0,151735.0,16871.0,45606.0,,,,,,,
2022-06-07,268985.0,2669.5,135689.0,11349.0,58794.5,,,,,,,
2022-06-08,315604.0,4030.0,119643.0,5827.0,71983.0,,,,,,,
2022-06-09,290744.3333333333,3598.3333333333335,116399.66666666667,10027.333333333332,69339.66666666667,,,,,,,
2022-06-10,265884.6666666667,3166.6666666666665,113156.33333333333,14227.666666666666,66696.33333333333,,,,,,,
2022-06-11,241025.0,2735.0,109913.0,18428.0,64053.0,,,,,,,
2022-06-12,264109.0,3178.0,95201.5,15701.0,58277.0,,,,,,,
2022-06-13,287193.0,3621.0,80490.0,12974.0,52501.0,,,,,,,
2022-06-14,256173.0,4258.0,100635.5,12606.5,67866.0,,,,,,,
2022-06-15,225153.0,4895.0,120781.0,12239.0,83231.0,,,,,,,
2022-06-16,251553.33333333334,4141.666666666667,127087.66666666667,9863.0,73257.0,,,,,,,
2022-06-17,277953.6666666667,3388.333333333333,133394.33333333334,7487.0,63283.0,,,,,,,
2022-06-18,304354.0,2635.0,139701.0,5111.0,53309.0,,,,,,,
2022-06-19,302062.0,4885.0,109498.5,6468.0,62594.0,,,,,,,
2022-06-20,299770.0,7135.0,79296.0,7825.0,71879.0,,,,,,,
2022-06-21,278266.5,6269.5,98856.5,8458.0,79258.5,,,,,,,
2022-06-22,256763.0,5404.0,118417.0,9091.0,86638.0,,,,,,,
2022-06-23,295213.0,4569.333333333333,120936.0,7818.666666666667,81448.0,,,,,,,
2022-06-24,333663.0,3734.666666666667,123455.0,6546.333333333334,76258.0,,,,,,,
2022-06-25,372113.0,2900.0,125974.0,5274.0,71068.0,,,,,,,
2022-06-26,394579.5,3175.0,128493.0,7322.75,67809.5,,,,,,,
2022-06-27,417046.0,3450.0,131012.0,9371.5,64551.0,,,,,,,
2022-06-28,396252.5,5552.5,188808.0,11420.25,77601.5,,,,,,,
2022-06-29,375459.0,7655.0,246604.0,13469.0,90652.0,,,,,,,
2022-06-30,392677.6666666667,10064.333333333334,222180.66666666666,15002.333333333334,82421.0,,,,,,,
2022-07-01,409896.3333333333,12473.666666666668,197757.33333333334,16535.666666666668,74190.0,,,,,,,
2022-07-02,427115.0,14883.0,173334.0,18069.0,65959.0,,,,,,,
2022-07-03,448506.5,12043.0,185517.5,23838.5,89889.0,,,,,,,
