Index	Wastewater Treatment Plant	County	Date	Population Served	Viral Gene Copies Per Person	Viral Gene Copies/L
1	Albemarle (CDC Contract)	Stanly	5/17/2023	20,000	331,783,021	565,471
2	Albemarle (CDC Contract)	Stanly	5/15/2023	20,000	316,267,626	568,363
3	Albemarle (CDC Contract)	Stanly	5/10/2023	20,000	207,850,503	300,868
4	Albemarle (CDC Contract)	Stanly	5/8/2023	20,000	258,730,411	395,084
5	Albemarle (CDC Contract)	Stanly	5/3/2023	20,000	20,550,970	19,116
6	Albemarle (CDC Contract)	Stanly	5/1/2023	20,000	196,244,596	113,317
7	Albemarle (CDC Contract)	Stanly	4/26/2023	20,000	156,072,107	225,918
8	Albemarle (CDC Contract)	Stanly	4/24/2023	20,000	214,357,811	264,076
9	Albemarle (CDC Contract)	Stanly	4/19/2023	20,000	320,349,742	376,123
10	Albemarle (CDC Contract)	Stanly	4/17/2023	20,000	175,034,636	173,832
11	Albemarle (CDC Contract)	Stanly	4/12/2023	20,000	143,761,597	83,376
12	Albemarle (CDC Contract)	Stanly	4/10/2023	20,000	60,583,427	16,117
13	Albemarle (CDC Contract)	Stanly	4/5/2023	20,000	136,546,932	158,907
14	Albemarle (CDC Contract)	Stanly	4/3/2023	20,000	173,939,346	205,593
15	Albemarle (CDC Contract)	Stanly	3/29/2023	20,000	188,591,158	106,001
16	Albemarle (CDC Contract)	Stanly	3/27/2023	20,000	252,446,846	322,952
17	Albemarle (CDC Contract)	Stanly	3/22/2023	20,000	560,428,972	771,094
18	Albemarle (CDC Contract)	Stanly	3/20/2023	20,000	289,550,386	354,948
19	Albemarle (CDC Contract)	Stanly	3/15/2023	20,000	224,929,120	245,032
20	Albemarle (CDC Contract)	Stanly	3/13/2023	20,000	55,118,028	67,902
21	Albemarle (CDC Contract)	Stanly	3/8/2023	20,000	109,209,500	139,037
22	Albemarle (CDC Contract)	Stanly	3/6/2023	20,000	220,796,667	286,626
23	Albemarle (CDC Contract)	Stanly	3/1/2023	20,000	606,178,700	786,909
24	Albemarle (CDC Contract)	Stanly	2/27/2023	20,000	1,122,806,545	1,453,995
25	Albemarle (CDC Contract)	Stanly	2/22/2023	20,000	940,542,305	928,844
26	Albemarle (CDC Contract)	Stanly	2/20/2023	20,000	730,427,394	677,049
27	Albemarle (CDC Contract)	Stanly	2/15/2023	20,000	600,542,332	308,652
28	Albemarle (CDC Contract)	Stanly	2/13/2023	20,000	66,228,367	17,237
29	Albemarle (CDC Contract)	Stanly	2/8/2023	20,000	1,266,517,328	1,227,815
30	Albemarle (CDC Contract)	Stanly	2/6/2023	20,000	773,536,605	592,311
31	Albemarle (CDC Contract)	Stanly	2/1/2023	20,000	1,470,593,395	1,214,034
32	Albemarle (CDC Contract)	Stanly	1/30/2023	20,000	808,825,787	764,472
33	Albemarle (CDC Contract)	Stanly	1/25/2023	20,000	691,091,024	520,877
34	Albemarle (CDC Contract)	Stanly	1/23/2023	20,000	652,112,263	407,741
35	Albemarle (CDC Contract)	Stanly	1/18/2023	20,000	1,048,894,273	1,099,561
36	Albemarle (CDC Contract)	Stanly	1/17/2023	20,000	1,111,306,370	1,238,722
37	Albemarle (CDC Contract)	Stanly	1/11/2023	20,000	1,708,824,928	1,941,614
38	Albemarle (CDC Contract)	Stanly	1/9/2023	20,000	1,458,588,661	1,541,278
39	Albemarle (CDC Contract)	Stanly	1/4/2023	20,000	1,230,495,614	1,547,922
40	Albemarle (CDC Contract)	Stanly	1/3/2023	20,000	2,256,746,341	3,088,970
41	Albemarle (CDC Contract)	Stanly	12/21/2022	20,000	239,792,736	347,105
42	Albemarle (CDC Contract)	Stanly	12/19/2022	20,000	883,492,499	1,149,728
