FIPStxt,State,CENSUS_2020_POP
0,US,"331,449,281"
1000,AL,"5,024,279"
1001,AL,"58,805"
1003,AL,"231,767"
1005,AL,"25,223"
1007,AL,"22,293"
1009,AL,"59,134"
1011,AL,"10,357"
1013,AL,"19,051"
1015,AL,"116,441"
1017,AL,"34,772"
1019,AL,"24,971"
1021,AL,"45,014"
1023,AL,"12,665"
1025,AL,"23,087"
1027,AL,"14,236"
1029,AL,"15,056"
1031,AL,"53,465"
1033,AL,"57,227"
1035,AL,"11,597"
1037,AL,"10,387"
1039,AL,"37,570"
1041,AL,"13,194"
1043,AL,"87,866"
1045,AL,"49,326"
1047,AL,"38,462"
1049,AL,"71,608"
1051,AL,"87,977"
1053,AL,"36,757"
1055,AL,"103,436"
1057,AL,"16,321"
1059,AL,"32,113"
1061,AL,"26,659"
1063,AL,"7,730"
1065,AL,"14,785"
1067,AL,"17,146"
1069,AL,"107,202"
1071,AL,"52,579"
1073,AL,"674,721"
1075,AL,"13,972"
1077,AL,"93,564"
1079,AL,"33,073"
1081,AL,"174,241"
1083,AL,"103,570"
1085,AL,"10,311"
1087,AL,"19,532"
1089,AL,"388,153"
1091,AL,"19,323"
1093,AL,"29,341"
1095,AL,"97,612"
1097,AL,"414,809"
1099,AL,"19,772"
1101,AL,"228,954"
1103,AL,"123,421"
1105,AL,"8,511"
1107,AL,"19,123"
1109,AL,"33,009"
1111,AL,"21,967"
1113,AL,"59,183"
1115,AL,"91,103"
1117,AL,"223,024"
1119,AL,"12,345"
1121,AL,"82,149"
1123,AL,"41,311"
1125,AL,"227,036"
1127,AL,"65,342"
1129,AL,"15,388"
1131,AL,"10,600"
1133,AL,"23,540"
2000,AK,"733,391"
2013,AK,"3,420"
2016,AK,"5,232"
2020,AK,"291,247"
2050,AK,"18,666"
2060,AK,844
2063,AK,"7,102"
2066,AK,"2,617"
2068,AK,"1,619"
2070,AK,"4,857"
2090,AK,"95,655"
2100,AK,"2,080"
2105,AK,"2,365"
2110,AK,"32,255"
2122,AK,"58,799"
2130,AK,"13,948"
2150,AK,"13,101"
2158,AK,"8,368"
2164,AK,"1,476"
2170,AK,"107,081"
2180,AK,"10,046"
2185,AK,"11,031"
2188,AK,"7,793"
2195,AK,"3,398"
2198,AK,"5,753"
2220,AK,"8,458"
2230,AK,"1,240"
2240,AK,"6,808"
2275,AK,"2,127"
2282,AK,662
2290,AK,"5,343"
4000,AZ,"7,151,502"
4001,AZ,"66,021"
4003,AZ,"125,447"
4005,AZ,"145,101"
4007,AZ,"53,272"
4009,AZ,"38,533"
4011,AZ,"9,563"
4012,AZ,"16,557"
4013,AZ,"4,420,568"
4015,AZ,"213,267"
4017,AZ,"106,717"
4019,AZ,"1,043,433"
4021,AZ,"425,264"
4023,AZ,"47,669"
4025,AZ,"236,209"
4027,AZ,"203,881"
