Source,Region,Date,Measure,Value
NWSS,Nationwide,2024-04-28,wastewater,58974031.22105527
NWSS,Nationwide,2024-04-28,inf,337709.31831794715
NWSS,Nationwide,2024-04-29,wastewater,58809107.150395565
NWSS,Nationwide,2024-04-29,inf,336764.8959285748
NWSS,Nationwide,2024-04-30,wastewater,58173603.62058676
NWSS,Nationwide,2024-04-30,inf,333125.7439256207
NWSS,Nationwide,2024-05-01,wastewater,58054378.299747065
NWSS,Nationwide,2024-05-01,inf,332443.011187272
NWSS,Nationwide,2024-05-02,wastewater,58516829.209834404
NWSS,Nationwide,2024-05-02,inf,335091.19341879885
NWSS,Nationwide,2024-05-03,wastewater,59378084.853917874
NWSS,Nationwide,2024-05-03,inf,340023.09395940613
NWSS,Nationwide,2024-05-04,wastewater,60566039.384046316
NWSS,Nationwide,2024-05-04,inf,346825.80536060943
NWSS,Nationwide,2024-05-05,wastewater,63863712.59356661
NWSS,Nationwide,2024-05-05,inf,365709.6250447021
NWSS,Nationwide,2024-05-06,wastewater,67374626.07122476
NWSS,Nationwide,2024-05-06,inf,385814.54534036457
NWSS,Nationwide,2024-05-07,wastewater,70305272.63012297
NWSS,Nationwide,2024-05-07,inf,402596.62096152373
NWSS,Nationwide,2024-05-08,wastewater,71146082.34791757
NWSS,Nationwide,2024-05-08,inf,407411.4398021619
NWSS,Nationwide,2024-05-09,wastewater,69763887.84556971
NWSS,Nationwide,2024-05-09,inf,399496.43122116366
NWSS,Nationwide,2024-05-10,wastewater,68295130.33629014
NWSS,Nationwide,2024-05-10,inf,391085.72761207947
NWSS,Nationwide,2024-05-11,wastewater,69021507.94178203
NWSS,Nationwide,2024-05-11,inf,395245.2615783536
NWSS,Nationwide,2024-05-12,wastewater,72378520.63934374
NWSS,Nationwide,2024-05-12,inf,414468.8833353398
NWSS,Nationwide,2024-05-13,wastewater,75556911.77648465
NWSS,Nationwide,2024-05-13,inf,432669.64529865695
NWSS,Nationwide,2024-05-14,wastewater,78886624.8391869
NWSS,Nationwide,2024-05-14,inf,451736.93822941516
NWSS,Nationwide,2024-05-15,wastewater,81348509.39964215
NWSS,Nationwide,2024-05-15,inf,465834.6917571067
NWSS,Nationwide,2024-05-16,wastewater,83159926.97376134
NWSS,Nationwide,2024-05-16,inf,476207.60643631435
NWSS,Nationwide,2024-05-17,wastewater,84643570.02321003
NWSS,Nationwide,2024-05-17,inf,484703.55071013223
NWSS,Nationwide,2024-05-18,wastewater,84840719.77027604
NWSS,Nationwide,2024-05-18,inf,485832.5104456242
NWSS,Nationwide,2024-05-19,wastewater,83001745.35165851
NWSS,Nationwide,2024-05-19,inf,475301.7940530547
NWSS,Nationwide,2024-05-20,wastewater,81505917.37729135
NWSS,Nationwide,2024-05-20,inf,466736.07393717946
NWSS,Nationwide,2024-05-21,wastewater,80160266.60031532
NWSS,Nationwide,2024-05-21,inf,459030.32960908365
NWSS,Nationwide,2024-05-22,wastewater,80458347.55952862
NWSS,Nationwide,2024-05-22,inf,460737.2625667809
NWSS,Nationwide,2024-05-23,wastewater,81415417.3657488
NWSS,Nationwide,2024-05-23,inf,466217.8340174554
NWSS,Nationwide,2024-05-24,wastewater,82452333.87742415
NWSS,Nationwide,2024-05-24,inf,472155.64021893294
NWSS,Nationwide,2024-05-25,wastewater,83538322.14758046
NWSS,Nationwide,2024-05-25,inf,478374.4512925913
NWSS,Nationwide,2024-05-26,wastewater,85338939.17928231
NWSS,Nationwide,2024-05-26,inf,488685.5176676946
NWSS,Nationwide,2024-05-27,wastewater,88249059.81363055
NWSS,Nationwide,2024-05-27,inf,505350.05348626454
NWSS,Nationwide,2024-05-28,wastewater,92935529.17199044
NWSS,Nationwide,2024-05-28,inf,532186.6854675054
NWSS,Nationwide,2024-05-29,wastewater,97857739.92550352
NWSS,Nationwide,2024-05-29,inf,560373.2686765686
NWSS,Nationwide,2024-05-30,wastewater,103963874.53804357
NWSS,Nationwide,2024-05-30,inf,595339.4820227288
NWSS,Nationwide,2024-05-31,wastewater,110836691.57738747
NWSS,Nationwide,2024-05-31,inf,634696.0311550209
NWSS,Nationwide,2024-06-01,wastewater,115608395.34694181
NWSS,Nationwide,2024-06-01,inf,662020.7500841222
NWSS,Nationwide,2024-06-02,wastewater,119109171.22105385
NWSS,Nationwide,2024-06-02,inf,682067.6183336205
