,A.2.5,AY.1,AY.2,AY.3,B.1,B.1.1,B.1.1.519,B.1.1.529,B.1.1.7,B.1.2,B.1.234,B.1.243,B.1.351,B.1.427,B.1.429,B.1.525,B.1.526,B.1.526.1,B.1.526.2,B.1.596,B.1.617,B.1.617.1,B.1.617.2,B.1.617.3,B.1.621,B.1.621.1,B.1.626,B.1.628,BA.1.1,BA.2,BA.2.12.1,BA.2.75,BA.2.75.2,BA.2.86,BA.4,BA.4.6,BA.5,BA.5.2.6,BF.11,BF.7,BN.1,BQ.1,BQ.1.1,CH.1.1,EG.5,EG.5.1.8,EG.6.1,EU.1.1,FD.1.1,FD.2,FE.1.1,FL.1.5.1,GE.1,GK.1.1,GK.2,HF.1,HK.3,HV.1,JD.1.1,JF.1,JG.3,JN.1,JN.1.11.1,JN.1.13,JN.1.13.1,JN.1.16,JN.1.16.1,JN.1.18,JN.1.18.6,JN.1.32,JN.1.4.3,JN.1.7,JN.1.8.1,KP.1.1,KP.1.1.3,KP.1.2,KP.2,KP.2.15,KP.2.3,KP.3,KP.3.1.1,KP.4.1,KQ.1,KS.1,KV.2,KW.1.1,LB.1,LB.1.3.1,LF.3.1,LF.7,LF.7.2.1,LP.1,LP.8.1,MC.1,MC.10.1,MC.19,MC.28.1,NA,Other,P.1,P.2,R.1,XBB,XBB.1.16,XBB.1.16.1,XBB.1.16.11,XBB.1.16.15,XBB.1.16.17,XBB.1.16.6,XBB.1.42.2,XBB.1.5,XBB.1.5.1,XBB.1.5.10,XBB.1.5.59,XBB.1.5.68,XBB.1.5.70,XBB.1.5.72,XBB.1.9.1,XBB.1.9.2,XBB.2.3,XBB.2.3.8,XDP,XDV.1,XEC,XEC.4,XEK,XEQ
2021-01-02,,,,,0.0416636057198047,,0.0016456082230433,,0.0,0.4008322060108185,0.033727541565895,0.0895878672599792,0.0,0.0076404069550335,0.0129548609256744,0.0,0.0,,,0.0731401443481445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3340634405612945,0.0,0.0,0.004744294565171,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,,,,,0.04213728835540152,,0.0015280647785402071,,0.0004720662587455286,0.3981958350964955,0.03227842991639453,0.09220699859516956,0.0,0.007289439622711879,0.0129327942351145,0.0,0.0005680236167141357,,,0.07669020390936304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33016629304204664,0.0,0.0004346517047711714,0.005099887460736286,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,,,,,0.042610970990998344,,0.0014105213340371142,,0.0009441325174910571,0.39555946418217247,0.030829318266894053,0.09482612993035994,0.0,0.006938472290390257,0.0129107275445546,0.0,0.0011360472334282713,,,0.08024026347058158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32626914552279873,0.0,0.0008693034095423428,0.005455480356301571,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,0.043084653626595165,,0.0012929778895340214,,0.0014161987762365857,0.3929230932678495,0.029380206617393583,0.0974452612655503,0.0,0.006587504958068636,0.012888660853994701,0.0,0.001704070850142407,,,0.0837903230318001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3223719980035509,0.0,0.0013039551143135143,0.005811073251866857,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,0.043558336262191986,,0.0011754344450309285,,0.0018882650349821143,0.3902867223535265,0.027931094967893113,0.10006439260074065,0.0,0.006236537625747014,0.0128665941634348,0.0,0.0022720944668565427,,,0.08734038259301864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318474850484303,0.0,0.0017386068190846857,0.006166666147432142,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,0.04403201889778881,,0.0010578910005278356,,0.0023603312937276427,0.3876503514392035,0.02648198331839264,0.10268352393593103,0.0,0.005885570293425393,0.0128445274728749,0.0,0.002840118083570678,,,0.09089044215423718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31457770296505516,0.0,0.002173258523855857,0.006522259042997428,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,0.04450570153338563,,0.0009403475560247429,,0.0028323975524731713,0.3850139805248805,0.02503287166889217,0.10530265527112138,0.0,0.005534602961103772,0.012822460782315,0.0,0.003408141700284814,,,0.09444050171545572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31068055544580725,0.0,0.0026079102286270285,0.0068778519385627145,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,,,,,0.04497938416898245,,0.00082280411152165,,0.0033044638112187,0.38237760961055756,0.0235837600193917,0.10792178660631174,0.0,0.00518363562878215,0.0128003940917551,0.0,0.00397616531699895,,,0.09799056127667424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3067834079265594,0.0,0.0030425619333982,0.007233444834128,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,,,,,0.04545306680457927,,0.0007052606670185571,,0.0037765300699642286,0.37974123869623455,0.02213464836989123,0.11054091794150211,0.0,0.004832668296460529,0.012778327401195201,0.0,0.004544188933713085,,,0.10154062083789278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30288626040731154,0.0,0.0034772136381693713,0.007589037729693285,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,,,,,0.04592674944017609,,0.0005877172225154644,,0.004248596328709757,0.37710486778191155,0.020685536720390755,0.11316004927669247,0.0,0.0044817009641389075,0.0127562607106353,0.0,0.005112212550427221,,,0.10509068039911132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2989891128880636,0.0,0.003911865342940543,0.007944630625258572,,,,,,,,,,,,,,,,,,,,,,,,,
