,A.2.5,AY.1,AY.2,AY.3,B.1,B.1.1,B.1.1.519,B.1.1.529,B.1.1.7,B.1.2,B.1.234,B.1.243,B.1.351,B.1.427,B.1.429,B.1.525,B.1.526,B.1.526.1,B.1.526.2,B.1.596,B.1.617,B.1.617.1,B.1.617.2,B.1.617.3,B.1.621,B.1.621.1,B.1.626,B.1.628,BA.1.1,BA.2,BA.2.12.1,BA.2.75,BA.2.75.2,BA.2.86,BA.4,BA.4.6,BA.5,BA.5.2.6,BF.11,BF.7,BN.1,BQ.1,BQ.1.1,CH.1.1,EG.5,EG.5.1.8,EG.6.1,EU.1.1,FD.1.1,FD.2,FE.1.1,FL.1.5.1,GE.1,GK.1.1,GK.2,HF.1,HK.3,HV.1,JD.1.1,JF.1,JG.3,JN.1,JN.1.11.1,JN.1.13,JN.1.13.1,JN.1.16,JN.1.16.1,JN.1.18,JN.1.32,JN.1.4.3,JN.1.7,JN.1.8.1,KP.1.1,KP.1.1.3,KP.1.2,KP.2,KP.2.15,KP.2.3,KP.3,KP.3.1.1,KP.4.1,KQ.1,KS.1,KV.2,KW.1.1,LB.1,LF.3.1,LP.1,NA,Other,P.1,P.2,R.1,XBB,XBB.1.16,XBB.1.16.1,XBB.1.16.11,XBB.1.16.15,XBB.1.16.17,XBB.1.16.6,XBB.1.42.2,XBB.1.5,XBB.1.5.1,XBB.1.5.10,XBB.1.5.59,XBB.1.5.68,XBB.1.5.70,XBB.1.5.72,XBB.1.9.1,XBB.1.9.2,XBB.2.3,XBB.2.3.8,XDP,XDV.1,XEC
2021-01-12,,,,,0.06396626361778804,,0.008013787546328071,,0.0,0.23927442090851916,0.0201428152088608,0.030162259936332658,0.0,0.14394706274781902,0.2159937556300844,0.0,0.0,,,0.06695289803402756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20814077769007,0.0,0.0011353237288338576,0.002270647457667743,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,,,,,0.06432249343820981,,0.008417802995869028,,0.0,0.2281966124262128,0.0188349484066878,0.030904289335012394,0.0,0.1457101351448467,0.22731784997241833,0.0,0.0,,,0.06861472422523149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20512667830501283,0.0,0.000851492796625393,0.0017029855932508076,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,,,,,0.06467872325863157,,0.008821818445409985,,0.0,0.21711880394390648,0.0175270816045148,0.03164631873369213,0.0,0.1474732075418744,0.23864194431475227,0.0,0.0,,,0.07027655041643543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20211257891995565,0.0,0.0005676618644169288,0.0011353237288338723,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,,,,,0.06503495307905334,,0.009225833894950942,,0.0,0.20604099546160015,0.0162192148023418,0.03238834813237187,0.0,0.1492362799389021,0.24996603865708622,0.0,0.0,,,0.07193837660763937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19909847953489848,0.0,0.0002838309322084646,0.0005676618644169362,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,,,,,0.0653911828994751,,0.0096298493444919,,0.0,0.1949631869792938,0.0149113480001688,0.0331303775310516,0.0,0.1509993523359298,0.2612901329994201,0.0,0.0,,,0.0736002027988433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1960843801498413,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,,,,,0.0651190113760047,,0.010265954983021474,,0.00027554479790953463,0.19674274526418198,0.014194774940343836,0.032210491996790644,0.0,0.14927971162475065,0.26501090251482445,0.0,7.850427025734285e-05,,,0.07074521141392837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20497856207273818,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,,,,,0.06484683985253432,,0.010902060621551048,,0.0005510895958190693,0.1985223035490702,0.013478201880518872,0.03129060646252969,0.0,0.1475600709135715,0.2687316720302288,0.0,0.0001570085405146857,,,0.06789022002901342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21387274399563508,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,,,,,0.06457466832906394,,0.011538166260080623,,0.0008266343937286039,0.20030186183395837,0.012761628820693907,0.03037072092826873,0.0,0.14584043020239235,0.27245244154563314,0.0,0.00023551281077202857,,,0.06503522864409847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22276692591853195,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,,,,,0.06430249680559355,,0.012174271898610197,,0.0011021791916381385,0.20208142011884656,0.012045055760868943,0.029450835394007772,0.0,0.1441207894912132,0.2761732110610375,0.0,0.0003140170810293714,,,0.062180237259183535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23166110784142882,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,,,,,0.06403032528212316,,0.012810377537139771,,0.0013777239895476732,0.20386097840373477,0.011328482701043979,0.028530949859746815,0.0,0.14240114878003407,0.2798939805764418,0.0,0.00039252135128671424,,,0.059325245874268594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24055528976432572,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
