Date,Nationwide,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2021-03-03,174687.24018819537,,2653.6131878451947,1590.5605166258308,3777.123049914482,10778.581485014296,807.5522590446756,2408.4481042491666,1290.8289107046464,11375.565940003717,5657.57999024028,0.0,1685.0189355512475,971.3385613030695,6767.028701664867,1554.4124441562724,1551.6648482909968,2379.7933657481285,,2555.1102976170173,3262.550322279843,719.5408155039939,5322.423066052104,3013.930503214387,,1564.0232175181814,572.6421161307834,,411.4847350179129,,727.5529724840526,6995.47303432258,,1639.7267455825645,17978.089667640386,,18.8180707575846,2237.94068798253,6204.669069250772,579.5895065668869,2703.337151658286,468.300276403268,3650.015487413833,,,3063.456135511768,339.6462672554459,4063.442787584854,,947.3654693238435,304.66847502331944
2021-03-04,176695.17281428043,,2684.1149949098876,1608.843124741083,3820.5389776977054,10239.083297174191,800.6476014062432,2308.587352002949,1278.048426440244,11506.321740865347,5722.610724224348,0.0,1704.3872906332756,982.5035575907992,6844.811931264742,1543.1560582979762,1569.5003723411578,2407.147766317274,,2591.9877748860986,3300.051522878653,727.8115368096475,5383.60135768142,3048.5739573306546,,1582.0007941461365,579.224318624856,,416.2145230876557,,735.915789076049,6737.43736334706,,1658.5744921424875,17615.824897976672,,18.762560224376383,2263.664570950755,6480.611121583598,586.2515654483394,2734.410508019487,473.68312750780063,3691.970384491595,,,3077.308725408887,343.55031211078557,4110.149801437908,,958.2549082584353,308.17046961937496
2021-03-05,178703.1054403655,,2714.61680197458,1627.1257328563354,3863.9549054809286,9699.585109334092,793.7429437678106,2208.7265997567324,1265.2679421758417,11637.077541726978,5787.641458208415,0.0,1723.7556457153034,993.668553878529,6922.595160864618,1531.89967243968,1587.335896391319,2434.5021668864197,,2628.86525215518,3337.552723477463,736.082258115301,5444.779649310736,3083.217411446922,,1599.9783707740917,585.8065211189286,,420.9443111573986,,744.2786056680453,6479.401692371539,,1677.4222387024106,17253.56012831296,,18.70704969116817,2289.3884539189803,6756.553173916424,592.913624329792,2765.4838643806884,479.0659786123332,3733.9252815693567,,,3091.1613153060057,347.4543569661253,4156.85681529096,,969.1443471930272,311.6724642154304
2021-03-06,180711.0380664505,,2745.118609039272,1645.408340971587,3907.37083326415,9160.086921493988,786.8382861293783,2108.865847510516,1252.487457911439,11767.833342588605,5852.672192192481,0.0,1743.1240007973308,1004.8335501662584,7000.378390464491,1520.6432865813838,1605.1714204414795,2461.856567455565,,2665.7427294242607,3375.0539240762723,744.3529794209543,5505.95794094005,3117.8608655631883,,1617.9559474020464,592.3887236130009,,425.67409922714137,,752.6414222600415,6221.3660213960175,,1696.269985262333,16891.29535864925,,18.65153915795996,2315.112336887205,7032.49522624925,599.5756832112443,2796.5572207418886,484.4488297168656,3775.880178647117,,,3105.0139052031245,351.3584018214649,4203.563829144012,,980.0337861276188,315.1744588114858
2021-03-07,179531.52490083623,,2727.2010342459494,1634.6686494632363,3881.867159608767,8750.268111946913,808.1973280605414,2076.269118801939,1239.7069736470364,11691.023898589761,5814.4714050209905,0.0,1731.746512569508,998.274933634842,6954.686447325974,1483.6078414253689,1594.6943580343548,2445.7878631625813,,2624.68683190113,3353.0247188838243,739.4945371891722,5470.020181132211,3097.510376855725,,1607.3954395229268,588.522162355099,,422.8956955962863,,747.7288808013624,5963.330350420498,,1685.1983163622986,17236.247837564646,,18.59602862475174,2300.001442110371,6442.360792879247,595.6622121820436,2778.3039026515694,481.28679944560264,3751.2347533861625,,,3115.0617687154618,349.0650617729992,4176.126883775174,,973.6370393331077,313.11729380589935
2021-03-08,178352.01173522192,,2709.2834594526266,1623.9289579548852,3856.363485953383,8340.449302399835,829.5563699917046,2043.6723900933623,1226.926489382634,11614.214454590916,5776.270617849499,0.0,1720.369024341685,991.7163171034255,6908.994504187457,1446.5723962693537,1584.2172956272298,2429.719158869598,,2583.630934377999,3330.995513691376,734.63609495739,5434.082421324372,3077.159888148261,,1596.8349316438068,584.6556010971971,,420.1172919654312,,742.8163393426832,5705.294679444977,,1674.126647462264,17581.20031648004,,18.54051809154352,2284.890547333537,5852.226359509246,591.7487411528429,2760.0505845612493,478.1247691743396,3726.589328125207,,,3125.109632227799,346.77172172453334,4148.6899384063345,,967.2402925385965,311.06012880031284
2021-03-09,177172.4985696076,,2691.365884659303,1613.1892664465336,3830.8598122979984,7930.630492852757,850.9154119228677,2011.0756613847857,1214.1460051182314,11537.405010592069,5738.069830678007,0.0,1708.9915361138617,985.1577005720088,6863.302561048938,1409.5369511133388,1573.7402332201045,2413.650454576614,,2542.575036854868,3308.966308498927,729.7776527256076,5398.144661516531,3056.8093994407964,,1586.2744237646868,580.789039839295,,417.338888334576,,737.9037978840039,5447.259008469457,,1663.054978562229,17926.152795395436,,18.48500755833531,2269.7796525567032,5262.091926139244,587.835270123642,2741.797266470929,474.96273890307646,3701.943902864251,,,3135.1574957401363,344.4783816760675,4121.252993037494,,960.8435457440851,309.0029637947263
2021-03-10,175992.98540399328,,2673.4483098659803,1602.4495749381824,3805.3561386426145,7520.81168330568,872.274453854031,1978.478932676209,1201.3655208538291,11460.595566593222,5699.8690435065155,0.0,1697.6140478860384,978.5990840405923,6817.61061791042,1372.501505957324,1563.2631708129795,2397.5817502836303,,2501.519139331737,3286.9371033064785,724.9192104938254,5362.206901708692,3036.4589107333322,,1575.7139158855668,576.922478581393,,414.5604847037209,,732.9912564253247,5189.223337493936,,1651.9833096621942,18271.10527431084,,18.42949702512709,2254.6687577798693,4671.957492769241,583.9217990944411,2723.5439483806094,471.8007086318134,3677.298477603296,,,3145.205359252473,342.1850416276017,4093.816047668655,,954.4467989495739,306.9457987891398
2021-03-11,174813.47223837895,,2655.530735072657,1591.709883429831,3779.85246498723,7110.992873758603,893.6334957851941,1945.882203967633,1188.5850365894266,11383.786122594374,5661.668256335022,0.0,1686.2365596582151,972.0404675091756,6771.918674771901,1335.4660608013091,1552.7861084058543,2381.513045990647,,2460.4632418086057,3264.9078981140296,720.060768262043,5326.2691419008515,3016.108422025868,,1565.1534080064469,573.0559173234909,,411.7820810728657,,728.0787149666453,4931.187666518415,,1640.9116407621593,18616.05775322623,,18.373986491918885,2239.557863003035,4081.82305939924,580.0083280652402,2705.2906302902893,468.6386783605503,3652.65305234234,,,3155.25322276481,339.8917015791358,4066.379102299815,,948.0500521550625,304.88863378355325
2021-03-12,173633.95907276464,,2637.613160279334,1580.97019192148,3754.3487913318463,6701.174064211526,914.9925377163572,1913.285475259056,1175.8045523250244,11306.976678595529,5623.467469163531,0.0,1674.859071430392,965.4818509777591,6726.226731633384,1298.430615645294,1542.3090459987293,2365.4443416976633,,2419.407344285475,3242.878692921581,715.2023260302608,5290.3313820930125,2995.757933318404,,1554.5929001273269,569.1893560655889,,409.0036774420106,,723.1661735079662,4673.151995542896,,1629.8399718621247,18961.010232141623,,18.318475958710668,2224.446968226201,3491.688626029237,576.0948570360395,2687.037312199969,465.4766480892872,3628.0076270813843,,,3165.301086277147,337.59836153067005,4038.9421569309757,,941.6533053605513,302.8314687779668
