region,x,y
Aachen,2022-06-01,147.93640124202855
Aachen,2022-06-08,225.24654242623706
Aachen,2022-06-15,231.11899710641939
Aachen,2022-06-22,325.56730972672534
Aachen,2022-06-29,331.81920483740487
Aachen,2022-07-06,342.7344943036479
Aachen,2022-07-13,364.4085020584197
Aachen,2022-07-20,364.8539709897184
Aachen,2022-07-27,259.6820764777718
Aachen,2022-08-03,184.8726984910705
Aachen,2022-08-10,138.8086417867149
Aachen,2022-08-17,111.29883279406991
Aachen,2022-08-24,103.82237373059323
Aachen,2022-08-31,97.32931054031519
Aachen,2022-09-07,103.26869102228719
Aachen,2022-09-14,100.38046358420502
Aachen,2022-09-21,163.86074803760613
Aachen,2022-09-28,273.83556214537447
Aachen,2022-10-05,195.00935781110522
Aachen,2022-10-12,313.1925780220134
Aachen,2022-10-19,296.8818542281815
Aachen,2022-10-26,236.64795206631638
Aachen,2022-11-02,182.4301933336282
Aachen,2022-11-09,162.6840231824189
Aachen,2022-11-16,153.85423860414605
Aachen,2022-11-23,172.570008177152
Aachen,2022-11-30,208.70297118206997
Aachen,2022-12-07,289.72277515257866
Aachen,2022-12-14,294.2424886669195
Aachen,2022-12-21,348.9189925211998
Aachen,2022-12-28,386.9945610428264
Aachen,2023-01-04,189.93952170907195
Aachen,2023-01-11,108.37950851747767
Aachen,2023-01-18,97.79575647423627
Aachen,2023-01-25,122.70940991909276
Aachen,2023-02-01,189.00851799988584
Aachen,2023-02-08,196.6516312426713
Aachen,2023-02-15,246.07354085600994
Aachen,2023-02-22,281.8303881148684
Aachen,2023-03-01,318.34690268483655
Aachen,2023-03-08,452.287875141139
Aachen,2023-03-15,364.57515849389586
Aachen,2023-03-22,244.95989343314642
Aachen,2023-03-29,147.05977265286612
Aachen,2023-04-05,131.1869913569578
Aachen,2023-04-12,139.7134251456621
Aachen,2023-04-19,125.71600316747617
Aachen,2023-04-26,119.08232465586102
Aachen,2023-05-03,104.58819814213382
Aachen,2023-05-10,86.8943532637442
Aachen,2023-05-17,58.26640141189873
Aachen,2023-05-24,62.24406702156796
Aachen,2023-05-31,41.812853234490305
Aachen,2023-06-07,33.31422373231703
Aachen,2023-06-14,27.48293559646747
Aachen,2023-06-21,24.798014654197456
Aachen,2023-06-28,22.759556635872627
Aachen,2023-07-05,22.177302271287015
Aachen,2023-07-12,29.90199709917
Aachen,2023-07-19,29.904853221115456
Aachen,2023-07-26,45.461354562241944
Aachen,2023-08-02,66.88895768526895
Aachen,2023-08-09,62.84750286002497
Aachen,2023-08-16,71.23853251822102
Aachen,2023-08-23,84.16202495740748
Aachen,2023-08-30,70.86776183313583
Aachen,2023-09-06,103.82048914505341
Aachen,2023-09-13,141.37438829201815
Aachen,2023-09-20,145.66826529638658
Aachen,2023-09-27,134.3105537455079
Aachen,2023-10-04,137.01809364334062
Aachen,2023-10-11,209.51101341395287
Aachen,2023-10-18,224.8699296590645
Aachen,2023-10-25,288.0982098475957
Aachen,2023-11-01,311.43351739349026
Aachen,2023-11-08,356.20253407561074
Aachen,2023-11-15,458.417479545312
Aachen,2023-11-22,563.9226148552116
Aachen,2023-11-29,548.0083587306214
Aachen,2023-12-06,616.830612138337
Aachen,2023-12-13,968.2684401855186
Aachen,2023-12-20,681.6141828798718
Aachen,2023-12-27,389.6405138663455
Aachen,2024-01-03,325.0679312460531
Aachen,2024-01-10,189.94383671741593
Aachen,2024-01-17,166.32666817935828
Aachen,2024-01-24,214.31085752423346
Aalen,2024-01-31,203.80043014526723
