State,Conversion Factor,Correlation
MA,16.404306803662266,0.9667733954248413
CO,14.765726665497672,0.2525986859462302
NJ,30.03458864253343,0.7453006311432215
FL,92.31761353556591,0.9445434947343159
IN,15.609071501836027,0.9582739537450821
OR,7.48967698534649,0.25564761115147183
CA,344.61745142044623,0.9734881685040285
KY,24.202792405285162,0.9727262207228765
PA,34.076354173589024,0.7784965344323231
MT,4.09087700544234,0.7763222869697426
CT,8.178303915468534,0.7414280697834709
DE,2.2584507812912586,0.9457885713344304
IL,43.10194698488685,0.7201893711458418
WY,1.671810746170388,0.7734362467939507
AZ,17.986457202044146,0.9707257300771381
MN,14.896658376011255,0.10658778721185858
NY,55.8495111128164,0.9120707180892595
OK,8.994875102058812,0.9655827386917673
VA,13.883710029703758,0.893068660097279
HI,0.8513674074316805,0.16022042115122942
ID,5.234311684022118,0.8775513474352961
NV,20.700062440622094,0.672002263731976
TN,15.83876542166915,0.9699086433348695
ME,2.3262366960766245,0.5095635418221237
WA,14.714977962218033,0.29221901112228427
RI,2.2297802151495407,0.9605616597202649
VT,0.5538573764290791,0.6263846362096464
VI,0.3446983555359842,-0.3434283161826164
AR,6.375123185149338,0.9471129720187974
MO,15.096458830923666,0.946934762157259
TX,85.33290431154825,0.9810720601291996
NM,5.1177785182522335,0.9612536740134393
AL,13.617296455908296,0.9727317814917729
WV,5.12593417039579,0.796140876332168
KS,6.028790729501367,0.9748240970135023
MD,16.087196630422344,0.8542208331959297
NH,2.2479067539625297,0.8547276747049263
NC,30.327581777029337,0.9873717687066825
WI,15.546121454811983,0.8687171440274298
LA,10.033969962741224,0.9573474254385249
SC,13.206294477328061,0.9831049914085043
MI,43.613314628383826,-0.13923023570854287
UT,12.324510447874154,0.933113118098544
GA,22.463872530169624,0.6426856153764497
MS,6.661829399284628,0.9611341135333731
NE,4.959713058892199,0.8899455152562779
OH,31.995388385077156,0.9670166063495665
IA,7.966325800815869,0.9806746928270985
DC,1.6540232624991356,0.9461076202824035
SD,1.9342161008328613,0.8257277238177964
ND,1.3624879362745468,0.3758046317657923
AK,1.7132211623072044,0.5580442228458856
