"Treatment plant","Date of reporting","Week of reporting","COVID-19 cases, estimate"
"Alheda","2023-04-30","2023-W17","8"
"Kakolanmäki","2023-04-30","2023-W17","75"
"Kuhasalo","2023-04-30","2023-W17","32"
"Lehtoniemi","2023-04-30","2023-W17","47"
"Luotsinmäki","2023-04-30","2023-W17","41"
"Mäkikylä","2023-04-30","2023-W17","45"
"Nenäinniemi","2023-04-30","2023-W17","25"
"Paroinen","2023-04-30","2023-W17","17"
"Pått","2023-04-30","2023-W17","8"
"Seinäjoenkeskuspuhdistamo","2023-04-30","2023-W17","27"
"Suomenoja","2023-04-30","2023-W17","133"
"Taskila","2023-04-30","2023-W17","52"
"Toikansuo","2023-04-30","2023-W17","28"
"Viikinmäki","2023-04-30","2023-W17","311"
"Viinikanlahti","2023-04-30","2023-W17","44"
"Aggregated","2023-04-23","2023-W16","652"
"Alakorkalo","2023-04-23","2023-W16","12"
"Alheda","2023-04-23","2023-W16","14"
"Kakolanmäki","2023-04-23","2023-W16","74"
"Kuhasalo","2023-04-23","2023-W16","29"
"Lehtoniemi","2023-04-23","2023-W16","50"
"Luotsinmäki","2023-04-23","2023-W16","67"
"Mäkikylä","2023-04-23","2023-W16","51"
"Nenäinniemi","2023-04-23","2023-W16","26"
"Paroinen","2023-04-23","2023-W16","10"
"Pått","2023-04-23","2023-W16","8"
"Seinäjoenkeskuspuhdistamo","2023-04-23","2023-W16","12"
"Suomenoja","2023-04-23","2023-W16","105"
"Taskila","2023-04-23","2023-W16","52"
"Toikansuo","2023-04-23","2023-W16","32"
"Viikinmäki","2023-04-23","2023-W16","254"
"Viinikanlahti","2023-04-23","2023-W16","53"
"Aggregated","2023-04-16","2023-W15","762"
"Alakorkalo","2023-04-16","2023-W15",".."
"Alheda","2023-04-16","2023-W15","10"
"Kakolanmäki","2023-04-16","2023-W15","112"
"Kuhasalo","2023-04-16","2023-W15","21"
"Lehtoniemi","2023-04-16","2023-W15","75"
"Luotsinmäki","2023-04-16","2023-W15","91"
"Mäkikylä","2023-04-16","2023-W15","54"
"Nenäinniemi","2023-04-16","2023-W15","34"
"Paroinen","2023-04-16","2023-W15","10"
"Pått","2023-04-16","2023-W15","5"
"Seinäjoenkeskuspuhdistamo","2023-04-16","2023-W15","25"
"Suomenoja","2023-04-16","2023-W15","124"
"Taskila","2023-04-16","2023-W15","51"
"Toikansuo","2023-04-16","2023-W15","29"
"Viikinmäki","2023-04-16","2023-W15","303"
"Viinikanlahti","2023-04-16","2023-W15","37"
"Aggregated","2023-04-09","2023-W14","699"
"Alakorkalo","2023-04-09","2023-W14","14"
"Alheda","2023-04-09","2023-W14",".."
"Kakolanmäki","2023-04-09","2023-W14","88"
"Kuhasalo","2023-04-09","2023-W14","16"
"Lehtoniemi","2023-04-09","2023-W14","60"
"Luotsinmäki","2023-04-09","2023-W14","40"
"Mäkikylä","2023-04-09","2023-W14","38"
"Nenäinniemi","2023-04-09","2023-W14","18"
"Paroinen","2023-04-09","2023-W14","6"
"Pått","2023-04-09","2023-W14",".."
"Seinäjoenkeskuspuhdistamo","2023-04-09","2023-W14","8"
"Suomenoja","2023-04-09","2023-W14","124"
"Taskila","2023-04-09","2023-W14","45"
"Toikansuo","2023-04-09","2023-W14","29"
"Viikinmäki","2023-04-09","2023-W14","311"
"Viinikanlahti","2023-04-09","2023-W14","34"
"Aggregated","2023-04-02","2023-W13","542"
"Alakorkalo","2023-04-02","2023-W13","8"
"Alheda","2023-04-02","2023-W13",".."
"Kakolanmäki","2023-04-02","2023-W13","69"
"Kuhasalo","2023-04-02","2023-W13","19"
"Lehtoniemi","2023-04-02","2023-W13","23"
"Luotsinmäki","2023-04-02","2023-W13","50"
"Mäkikylä","2023-04-02","2023-W13","59"
"Nenäinniemi","2023-04-02","2023-W13","25"
"Paroinen","2023-04-02","2023-W13","13"
"Pått","2023-04-02","2023-W13",".."
"Seinäjoenkeskuspuhdistamo","2023-04-02","2023-W13","8"
"Suomenoja","2023-04-02","2023-W13","94"
"Taskila","2023-04-02","2023-W13","47"
"Toikansuo","2023-04-02","2023-W13","34"
"Viikinmäki","2023-04-02","2023-W13","214"
"Viinikanlahti","2023-04-02","2023-W13","48"
"Aggregated","2023-03-26","2023-W12","522"
"Alakorkalo","2023-03-26","2023-W12","5"
"Alheda","2023-03-26","2023-W12",".."
"Kakolanmäki","2023-03-26","2023-W12","52"
"Kuhasalo","2023-03-26","2023-W12","17"
"Lehtoniemi","2023-03-26","2023-W12","12"
"Luotsinmäki","2023-03-26","2023-W12","41"
"Mäkikylä","2023-03-26","2023-W12","61"
"Nenäinniemi","2023-03-26","2023-W12","21"
"Paroinen","2023-03-26","2023-W12",".."
"Pått","2023-03-26","2023-W12","5"
"Seinäjoenkeskuspuhdistamo","2023-03-26","2023-W12","8"
"Suomenoja","2023-03-26","2023-W12","95"
"Taskila","2023-03-26","2023-W12","23"
"Toikansuo","2023-03-26","2023-W12","40"
"Viikinmäki","2023-03-26","2023-W12","238"
"Viinikanlahti","2023-03-26","2023-W12","59"
"Aggregated","2023-03-19","2023-W11","387"
"Alakorkalo","2023-03-19","2023-W11",".."
"Alheda","2023-03-19","2023-W11",".."
"Kakolanmäki","2023-03-19","2023-W11","37"
"Kuhasalo","2023-03-19","2023-W11","10"
"Lehtoniemi","2023-03-19","2023-W11","14"
"Luotsinmäki","2023-03-19","2023-W11","25"
"Mäkikylä","2023-03-19","2023-W11","30"
"Nenäinniemi","2023-03-19","2023-W11","25"
"Paroinen","2023-03-19","2023-W11","11"
"Pått","2023-03-19","2023-W11",".."
"Seinäjoenkeskuspuhdistamo","2023-03-19","2023-W11","11"
"Suomenoja","2023-03-19","2023-W11","54"
"Taskila","2023-03-19","2023-W11","20"
"Toikansuo","2023-03-19","2023-W11","20"
"Viikinmäki","2023-03-19","2023-W11","185"
"Viinikanlahti","2023-03-19","2023-W11","42"
"Aggregated","2023-03-12","2023-W10","345"
"Alakorkalo","2023-03-12","2023-W10","10"
"Alheda","2023-03-12","2023-W10",".."
"Kakolanmäki","2023-03-12","2023-W10","43"
"Kuhasalo","2023-03-12","2023-W10","9"
"Lehtoniemi","2023-03-12","2023-W10","10"
"Luotsinmäki","2023-03-12","2023-W10","25"
"Mäkikylä","2023-03-12","2023-W10","11"
"Nenäinniemi","2023-03-12","2023-W10","32"
"Paroinen","2023-03-12","2023-W10","8"
"Pått","2023-03-12","2023-W10","5"
"Seinäjoenkeskuspuhdistamo","2023-03-12","2023-W10","9"
"Suomenoja","2023-03-12","2023-W10","48"
"Taskila","2023-03-12","2023-W10","9"
"Toikansuo","2023-03-12","2023-W10","16"
"Viikinmäki","2023-03-12","2023-W10","173"
"Viinikanlahti","2023-03-12","2023-W10","17"
"Aggregated","2023-03-05","2023-W09","306"
"Alakorkalo","2023-03-05","2023-W09",".."
"Alheda","2023-03-05","2023-W09",".."
"Kakolanmäki","2023-03-05","2023-W09","33"
"Kuhasalo","2023-03-05","2023-W09","7"
"Lehtoniemi","2023-03-05","2023-W09","8"
"Luotsinmäki","2023-03-05","2023-W09","25"
"Mäkikylä","2023-03-05","2023-W09","18"
"Nenäinniemi","2023-03-05","2023-W09","20"
"Paroinen","2023-03-05","2023-W09","9"
"Pått","2023-03-05","2023-W09",".."
"Seinäjoenkeskuspuhdistamo","2023-03-05","2023-W09",".."
"Suomenoja","2023-03-05","2023-W09","54"
"Taskila","2023-03-05","2023-W09","12"
"Toikansuo","2023-03-05","2023-W09","7"
"Viikinmäki","2023-03-05","2023-W09","142"
"Viinikanlahti","2023-03-05","2023-W09","28"
"Aggregated","2023-02-26","2023-W08","302"
"Alakorkalo","2023-02-26","2023-W08",".."
"Alheda","2023-02-26","2023-W08",".."
"Kakolanmäki","2023-02-26","2023-W08","32"
"Kuhasalo","2023-02-26","2023-W08","20"
"Lehtoniemi","2023-02-26","2023-W08","8"
"Luotsinmäki","2023-02-26","2023-W08","32"
"Mäkikylä","2023-02-26","2023-W08","17"
"Nenäinniemi","2023-02-26","2023-W08","21"
"Paroinen","2023-02-26","2023-W08","7"
"Pått","2023-02-26","2023-W08",".."
"Seinäjoenkeskuspuhdistamo","2023-02-26","2023-W08","6"
"Suomenoja","2023-02-26","2023-W08","44"
"Taskila","2023-02-26","2023-W08","16"
"Toikansuo","2023-02-26","2023-W08","19"
"Viikinmäki","2023-02-26","2023-W08","141"
"Viinikanlahti","2023-02-26","2023-W08","20"
"Aggregated","2023-02-19","2023-W07","259"
"Alakorkalo","2023-02-19","2023-W07","6"
"Alheda","2023-02-19","2023-W07",".."
"Kakolanmäki","2023-02-19","2023-W07","26"
"Kuhasalo","2023-02-19","2023-W07",".."
"Lehtoniemi","2023-02-19","2023-W07","6"
"Luotsinmäki","2023-02-19","2023-W07","22"
"Mäkikylä","2023-02-19","2023-W07",".."
"Nenäinniemi","2023-02-19","2023-W07","20"
"Paroinen","2023-02-19","2023-W07",".."
"Pått","2023-02-19","2023-W07",".."
"Seinäjoenkeskuspuhdistamo","2023-02-19","2023-W07","6"
"Suomenoja","2023-02-19","2023-W07","50"
"Taskila","2023-02-19","2023-W07","16"
"Toikansuo","2023-02-19","2023-W07","9"
"Viikinmäki","2023-02-19","2023-W07","126"
"Viinikanlahti","2023-02-19","2023-W07","9"
"Aggregated","2023-02-12","2023-W06","278"
"Alakorkalo","2023-02-12","2023-W06","7"
"Alheda","2023-02-12","2023-W06",".."
"Kakolanmäki","2023-02-12","2023-W06","21"
"Kuhasalo","2023-02-12","2023-W06","8"
"Lehtoniemi","2023-02-12","2023-W06",".."
"Luotsinmäki","2023-02-12","2023-W06","17"
"Mäkikylä","2023-02-12","2023-W06","8"
"Nenäinniemi","2023-02-12","2023-W06","26"
"Paroinen","2023-02-12","2023-W06",".."
"Pått","2023-02-12","2023-W06",".."
"Seinäjoenkeskuspuhdistamo","2023-02-12","2023-W06","6"
"Suomenoja","2023-02-12","2023-W06","50"
"Taskila","2023-02-12","2023-W06","14"
"Toikansuo","2023-02-12","2023-W06","11"
"Viikinmäki","2023-02-12","2023-W06","144"
"Viinikanlahti","2023-02-12","2023-W06","8"
"Aggregated","2023-02-05","2023-W05","279"
"Alakorkalo","2023-02-05","2023-W05",".."
"Alheda","2023-02-05","2023-W05",".."
"Kakolanmäki","2023-02-05","2023-W05","19"
"Kuhasalo","2023-02-05","2023-W05","18"
"Lehtoniemi","2023-02-05","2023-W05","11"
"Luotsinmäki","2023-02-05","2023-W05","12"
"Mäkikylä","2023-02-05","2023-W05","9"
"Nenäinniemi","2023-02-05","2023-W05","28"
"Paroinen","2023-02-05","2023-W05","7"
"Pått","2023-02-05","2023-W05",".."
"Seinäjoenkeskuspuhdistamo","2023-02-05","2023-W05","6"
"Suomenoja","2023-02-05","2023-W05","43"
"Taskila","2023-02-05","2023-W05","16"
"Toikansuo","2023-02-05","2023-W05","8"
"Viikinmäki","2023-02-05","2023-W05","134"
"Viinikanlahti","2023-02-05","2023-W05","10"
"Aggregated","2023-01-29","2023-W04","293"
"Alakorkalo","2023-01-29","2023-W04",".."
"Alheda","2023-01-29","2023-W04",".."
"Kakolanmäki","2023-01-29","2023-W04","17"
"Kuhasalo","2023-01-29","2023-W04","12"
"Lehtoniemi","2023-01-29","2023-W04","5"
"Luotsinmäki","2023-01-29","2023-W04","20"
"Mäkikylä","2023-01-29","2023-W04","12"
"Nenäinniemi","2023-01-29","2023-W04","18"
"Paroinen","2023-01-29","2023-W04","9"
"Pått","2023-01-29","2023-W04",".."
"Seinäjoenkeskuspuhdistamo","2023-01-29","2023-W04","10"
"Suomenoja","2023-01-29","2023-W04","56"
"Taskila","2023-01-29","2023-W04","29"
"Toikansuo","2023-01-29","2023-W04","9"
"Viikinmäki","2023-01-29","2023-W04","130"
"Viinikanlahti","2023-01-29","2023-W04","22"
"Aggregated","2023-01-22","2023-W03","356"
"Alakorkalo","2023-01-22","2023-W03",".."
"Alheda","2023-01-22","2023-W03",".."
"Kakolanmäki","2023-01-22","2023-W03","31"
"Kuhasalo","2023-01-22","2023-W03","12"
"Lehtoniemi","2023-01-22","2023-W03","10"
"Luotsinmäki","2023-01-22","2023-W03","24"
"Mäkikylä","2023-01-22","2023-W03","22"
"Nenäinniemi","2023-01-22","2023-W03","17"
"Paroinen","2023-01-22","2023-W03","10"
"Pått","2023-01-22","2023-W03",".."
"Seinäjoenkeskuspuhdistamo","2023-01-22","2023-W03","10"
"Suomenoja","2023-01-22","2023-W03","56"
"Taskila","2023-01-22","2023-W03","37"
"Toikansuo","2023-01-22","2023-W03","23"
"Viikinmäki","2023-01-22","2023-W03","175"
"Viinikanlahti","2023-01-22","2023-W03","16"
"Aggregated","2023-01-15","2023-W02","540"
"Alakorkalo","2023-01-15","2023-W02","8"
"Alheda","2023-01-15","2023-W02",".."
