"Treatment plant","Date of reporting","Week of reporting","COVID-19 cases, estimate"
"Paroinen","2022-11-20","2022-W46","115"
"Pått","2022-11-20","2022-W46","149"
"Seinäjoenkeskuspuhdistamo","2022-11-20","2022-W46","99"
"Suomenoja","2022-11-20","2022-W46","730"
"Taskila","2022-11-20","2022-W46","515"
"Toikansuo","2022-11-20","2022-W46","205"
"Viikinmäki","2022-11-20","2022-W46","1 463"
"Viinikanlahti","2022-11-20","2022-W46","357"
"Aggregated","2022-11-13","2022-W45","4 893"
"Alakorkalo","2022-11-13","2022-W45","39"
"Alheda","2022-11-13","2022-W45","126"
"Kakolanmäki","2022-11-13","2022-W45","526"
"Kuhasalo","2022-11-13","2022-W45","260"
"Lehtoniemi","2022-11-13","2022-W45","265"
"Luotsinmäki","2022-11-13","2022-W45","272"
"Mäkikylä","2022-11-13","2022-W45","205"
"Nenäinniemi","2022-11-13","2022-W45","238"
"Paroinen","2022-11-13","2022-W45","101"
"Pått","2022-11-13","2022-W45","156"
"Seinäjoenkeskuspuhdistamo","2022-11-13","2022-W45","81"
"Suomenoja","2022-11-13","2022-W45","810"
"Taskila","2022-11-13","2022-W45","512"
"Toikansuo","2022-11-13","2022-W45","273"
"Viikinmäki","2022-11-13","2022-W45","1 708"
"Viinikanlahti","2022-11-13","2022-W45","417"
"Aggregated","2022-11-06","2022-W44","4 748"
"Alakorkalo","2022-11-06","2022-W44","47"
"Alheda","2022-11-06","2022-W44","112"
"Kakolanmäki","2022-11-06","2022-W44","524"
"Kuhasalo","2022-11-06","2022-W44","229"
"Lehtoniemi","2022-11-06","2022-W44","262"
"Luotsinmäki","2022-11-06","2022-W44","271"
"Mäkikylä","2022-11-06","2022-W44","191"
"Nenäinniemi","2022-11-06","2022-W44","229"
"Paroinen","2022-11-06","2022-W44","129"
"Pått","2022-11-06","2022-W44","130"
"Seinäjoenkeskuspuhdistamo","2022-11-06","2022-W44","82"
"Suomenoja","2022-11-06","2022-W44","807"
"Taskila","2022-11-06","2022-W44","490"
"Toikansuo","2022-11-06","2022-W44","235"
"Viikinmäki","2022-11-06","2022-W44","1 654"
"Viinikanlahti","2022-11-06","2022-W44","424"
"Aggregated","2022-10-30","2022-W43","5 229"
"Alakorkalo","2022-10-30","2022-W43","51"
"Alheda","2022-10-30","2022-W43","83"
"Kakolanmäki","2022-10-30","2022-W43","557"
"Kuhasalo","2022-10-30","2022-W43","268"
"Lehtoniemi","2022-10-30","2022-W43","255"
"Luotsinmäki","2022-10-30","2022-W43","314"
"Mäkikylä","2022-10-30","2022-W43","285"
"Nenäinniemi","2022-10-30","2022-W43","304"
"Paroinen","2022-10-30","2022-W43","165"
"Pått","2022-10-30","2022-W43","122"
"Seinäjoenkeskuspuhdistamo","2022-10-30","2022-W43","86"
"Suomenoja","2022-10-30","2022-W43","843"
"Taskila","2022-10-30","2022-W43","623"
"Toikansuo","2022-10-30","2022-W43","237"
"Viikinmäki","2022-10-30","2022-W43","1 861"
"Viinikanlahti","2022-10-30","2022-W43","396"
"Aggregated","2022-10-23","2022-W42","5 217"
"Alakorkalo","2022-10-23","2022-W42","73"
"Alheda","2022-10-23","2022-W42","67"
"Kakolanmäki","2022-10-23","2022-W42","520"
"Kuhasalo","2022-10-23","2022-W42","357"
"Lehtoniemi","2022-10-23","2022-W42","222"
"Luotsinmäki","2022-10-23","2022-W42","314"
"Mäkikylä","2022-10-23","2022-W42","341"
"Nenäinniemi","2022-10-23","2022-W42","355"
"Paroinen","2022-10-23","2022-W42","164"
"Pått","2022-10-23","2022-W42","115"
"Seinäjoenkeskuspuhdistamo","2022-10-23","2022-W42","96"
"Suomenoja","2022-10-23","2022-W42","863"
"Taskila","2022-10-23","2022-W42","652"
"Toikansuo","2022-10-23","2022-W42","248"
"Viikinmäki","2022-10-23","2022-W42","1 746"
"Viinikanlahti","2022-10-23","2022-W42","388"
"Aggregated","2022-10-16","2022-W41","5 470"
"Alakorkalo","2022-10-16","2022-W41","68"
"Alheda","2022-10-16","2022-W41","92"
"Kakolanmäki","2022-10-16","2022-W41","588"
"Kuhasalo","2022-10-16","2022-W41","427"
"Lehtoniemi","2022-10-16","2022-W41","237"
"Luotsinmäki","2022-10-16","2022-W41","398"
"Mäkikylä","2022-10-16","2022-W41","361"
"Nenäinniemi","2022-10-16","2022-W41","470"
"Paroinen","2022-10-16","2022-W41","185"
"Pått","2022-10-16","2022-W41","201"
"Seinäjoenkeskuspuhdistamo","2022-10-16","2022-W41","102"
"Suomenoja","2022-10-16","2022-W41","879"
"Taskila","2022-10-16","2022-W41","523"
"Toikansuo","2022-10-16","2022-W41","264"
"Viikinmäki","2022-10-16","2022-W41","1 741"
"Viinikanlahti","2022-10-16","2022-W41","404"
"Aggregated","2022-10-09","2022-W40","4 898"
"Alakorkalo","2022-10-09","2022-W40","69"
"Alheda","2022-10-09","2022-W40","55"
"Kakolanmäki","2022-10-09","2022-W40","480"
"Kuhasalo","2022-10-09","2022-W40","378"
"Lehtoniemi","2022-10-09","2022-W40","201"
"Luotsinmäki","2022-10-09","2022-W40","341"
"Mäkikylä","2022-10-09","2022-W40","292"
"Nenäinniemi","2022-10-09","2022-W40","316"
"Paroinen","2022-10-09","2022-W40","186"
"Pått","2022-10-09","2022-W40","125"
"Seinäjoenkeskuspuhdistamo","2022-10-09","2022-W40","87"
"Suomenoja","2022-10-09","2022-W40","871"
"Taskila","2022-10-09","2022-W40","457"
"Toikansuo","2022-10-09","2022-W40","191"
"Viikinmäki","2022-10-09","2022-W40","1 751"
"Viinikanlahti","2022-10-09","2022-W40","319"
"Aggregated","2022-10-02","2022-W39","4 102"
"Alakorkalo","2022-10-02","2022-W39","71"
"Alheda","2022-10-02","2022-W39","33"
"Kakolanmäki","2022-10-02","2022-W39","476"
"Kuhasalo","2022-10-02","2022-W39","323"
"Lehtoniemi","2022-10-02","2022-W39","211"
"Luotsinmäki","2022-10-02","2022-W39","272"
"Mäkikylä","2022-10-02","2022-W39","219"
"Nenäinniemi","2022-10-02","2022-W39","276"
"Paroinen","2022-10-02","2022-W39","136"
"Pått","2022-10-02","2022-W39","94"
"Seinäjoenkeskuspuhdistamo","2022-10-02","2022-W39","93"
"Suomenoja","2022-10-02","2022-W39","703"
"Taskila","2022-10-02","2022-W39","369"
"Toikansuo","2022-10-02","2022-W39","187"
"Viikinmäki","2022-10-02","2022-W39","1 392"
"Viinikanlahti","2022-10-02","2022-W39","259"
"Aggregated","2022-09-25","2022-W38","3 302"
"Alakorkalo","2022-09-25","2022-W38","40"
"Alheda","2022-09-25","2022-W38","38"
"Kakolanmäki","2022-09-25","2022-W38","325"
"Kuhasalo","2022-09-25","2022-W38","243"
"Lehtoniemi","2022-09-25","2022-W38","134"
"Luotsinmäki","2022-09-25","2022-W38","233"
"Mäkikylä","2022-09-25","2022-W38","153"
"Nenäinniemi","2022-09-25","2022-W38","227"
"Paroinen","2022-09-25","2022-W38","116"
"Pått","2022-09-25","2022-W38","69"
"Seinäjoenkeskuspuhdistamo","2022-09-25","2022-W38","82"
"Suomenoja","2022-09-25","2022-W38","578"
"Taskila","2022-09-25","2022-W38","323"
"Toikansuo","2022-09-25","2022-W38","134"
"Viikinmäki","2022-09-25","2022-W38","1 160"
"Viinikanlahti","2022-09-25","2022-W38","242"
"Aggregated","2022-09-18","2022-W37","3 668"
"Alakorkalo","2022-09-18","2022-W37","65"
"Alheda","2022-09-18","2022-W37","41"
"Kakolanmäki","2022-09-18","2022-W37","432"
"Kuhasalo","2022-09-18","2022-W37","283"
"Lehtoniemi","2022-09-18","2022-W37","99"
"Luotsinmäki","2022-09-18","2022-W37","250"
"Mäkikylä","2022-09-18","2022-W37","136"
"Nenäinniemi","2022-09-18","2022-W37","188"
"Paroinen","2022-09-18","2022-W37","100"
"Pått","2022-09-18","2022-W37","99"
"Seinäjoenkeskuspuhdistamo","2022-09-18","2022-W37","73"
"Suomenoja","2022-09-18","2022-W37","575"
"Taskila","2022-09-18","2022-W37","400"
"Toikansuo","2022-09-18","2022-W37","198"
"Viikinmäki","2022-09-18","2022-W37","1 333"
"Viinikanlahti","2022-09-18","2022-W37","258"
"Aggregated","2022-09-11","2022-W36","2 796"
"Alakorkalo","2022-09-11","2022-W36","61"
"Alheda","2022-09-11","2022-W36","35"
"Kakolanmäki","2022-09-11","2022-W36","318"
"Kuhasalo","2022-09-11","2022-W36","176"
"Lehtoniemi","2022-09-11","2022-W36","72"
"Luotsinmäki","2022-09-11","2022-W36","153"
"Mäkikylä","2022-09-11","2022-W36","115"
"Nenäinniemi","2022-09-11","2022-W36","179"
"Paroinen","2022-09-11","2022-W36","81"
"Pått","2022-09-11","2022-W36","98"
"Seinäjoenkeskuspuhdistamo","2022-09-11","2022-W36","44"
"Suomenoja","2022-09-11","2022-W36","471"
"Taskila","2022-09-11","2022-W36","267"
"Toikansuo","2022-09-11","2022-W36","157"
"Viikinmäki","2022-09-11","2022-W36","985"
"Viinikanlahti","2022-09-11","2022-W36","231"
"Aggregated","2022-09-04","2022-W35","2 522"
"Alakorkalo","2022-09-04","2022-W35","35"
"Alheda","2022-09-04","2022-W35","29"
"Kakolanmäki","2022-09-04","2022-W35","287"
"Kuhasalo","2022-09-04","2022-W35","139"
"Lehtoniemi","2022-09-04","2022-W35","75"
"Luotsinmäki","2022-09-04","2022-W35","140"
"Mäkikylä","2022-09-04","2022-W35","86"
"Nenäinniemi","2022-09-04","2022-W35","167"
"Paroinen","2022-09-04","2022-W35","68"
"Pått","2022-09-04","2022-W35","130"
"Seinäjoenkeskuspuhdistamo","2022-09-04","2022-W35","52"
"Suomenoja","2022-09-04","2022-W35","419"
"Taskila","2022-09-04","2022-W35","244"
"Toikansuo","2022-09-04","2022-W35","138"
"Viikinmäki","2022-09-04","2022-W35","901"
"Viinikanlahti","2022-09-04","2022-W35","161"
"Aggregated","2022-08-28","2022-W34","3 044"
"Alakorkalo","2022-08-28","2022-W34","41"
"Alheda","2022-08-28","2022-W34","42"
"Kakolanmäki","2022-08-28","2022-W34","377"
"Kuhasalo","2022-08-28","2022-W34","218"
"Lehtoniemi","2022-08-28","2022-W34","92"
"Luotsinmäki","2022-08-28","2022-W34","162"
"Mäkikylä","2022-08-28","2022-W34","87"
"Nenäinniemi","2022-08-28","2022-W34","187"
"Paroinen","2022-08-28","2022-W34","72"
"Pått","2022-08-28","2022-W34","108"
"Seinäjoenkeskuspuhdistamo","2022-08-28","2022-W34","45"
"Suomenoja","2022-08-28","2022-W34","515"
"Taskila","2022-08-28","2022-W34","348"
"Toikansuo","2022-08-28","2022-W34","176"
"Viikinmäki","2022-08-28","2022-W34","1 005"
"Viinikanlahti","2022-08-28","2022-W34","195"
"Aggregated","2022-08-21","2022-W33","4 340"
"Alakorkalo","2022-08-21","2022-W33","35"
"Alheda","2022-08-21","2022-W33","65"
"Kakolanmäki","2022-08-21","2022-W33","570"
"Kuhasalo","2022-08-21","2022-W33","258"
"Lehtoniemi","2022-08-21","2022-W33","186"
"Luotsinmäki","2022-08-21","2022-W33","219"
"Mäkikylä","2022-08-21","2022-W33","141"
"Nenäinniemi","2022-08-21","2022-W33","278"
"Paroinen","2022-08-21","2022-W33","105"
"Pått","2022-08-21","2022-W33","149"
"Seinäjoenkeskuspuhdistamo","2022-08-21","2022-W33","81"
"Suomenoja","2022-08-21","2022-W33","705"
"Taskila","2022-08-21","2022-W33","395"
"Toikansuo","2022-08-21","2022-W33","181"
"Viikinmäki","2022-08-21","2022-W33","1 459"
"Viinikanlahti","2022-08-21","2022-W33","339"
"Aggregated","2022-08-14","2022-W32","5 250"
"Alakorkalo","2022-08-14","2022-W32","42"
"Alheda","2022-08-14","2022-W32","81"
"Kakolanmäki","2022-08-14","2022-W32","546"
"Kuhasalo","2022-08-14","2022-W32","355"
"Lehtoniemi","2022-08-14","2022-W32","263"
"Luotsinmäki","2022-08-14","2022-W32","245"
"Mäkikylä","2022-08-14","2022-W32","176"
"Nenäinniemi","2022-08-14","2022-W32","310"
"Paroinen","2022-08-14","2022-W32","105"
"Pått","2022-08-14","2022-W32","206"
"Seinäjoenkeskuspuhdistamo","2022-08-14","2022-W32","97"
"Suomenoja","2022-08-14","2022-W32","864"
"Taskila","2022-08-14","2022-W32","528"
"Toikansuo","2022-08-14","2022-W32","227"
"Viikinmäki","2022-08-14","2022-W32","1 734"
"Viinikanlahti","2022-08-14","2022-W32","442"
"Aggregated","2022-08-07","2022-W31","6 643"
"Alakorkalo","2022-08-07","2022-W31","83"
"Alheda","2022-08-07","2022-W31","135"
"Kakolanmäki","2022-08-07","2022-W31","703"
"Kuhasalo","2022-08-07","2022-W31","456"
"Lehtoniemi","2022-08-07","2022-W31","309"
"Luotsinmäki","2022-08-07","2022-W31","316"
"Mäkikylä","2022-08-07","2022-W31","245"
"Nenäinniemi","2022-08-07","2022-W31","412"
"Paroinen","2022-08-07","2022-W31","143"
"Pått","2022-08-07","2022-W31","203"
"Seinäjoenkeskuspuhdistamo","2022-08-07","2022-W31","115"
"Suomenoja","2022-08-07","2022-W31","1 165"
"Taskila","2022-08-07","2022-W31","622"
"Toikansuo","2022-08-07","2022-W31","199"
"Viikinmäki","2022-08-07","2022-W31","2 285"
"Viinikanlahti","2022-08-07","2022-W31","489"
"Aggregated","2022-07-31","2022-W30","7 399"
"Alakorkalo","2022-07-31","2022-W30","98"
"Alheda","2022-07-31","2022-W30","171"
"Kakolanmäki","2022-07-31","2022-W30","759"
"Kuhasalo","2022-07-31","2022-W30","534"
"Lehtoniemi","2022-07-31","2022-W30","336"
"Luotsinmäki","2022-07-31","2022-W30","379"
"Mäkikylä","2022-07-31","2022-W30","271"
"Nenäinniemi","2022-07-31","2022-W30","448"
"Paroinen","2022-07-31","2022-W30","189"
"Pått","2022-07-31","2022-W30","216"
"Seinäjoenkeskuspuhdistamo","2022-07-31","2022-W30","122"
"Suomenoja","2022-07-31","2022-W30","1 355"
"Taskila","2022-07-31","2022-W30","530"
"Toikansuo","2022-07-31","2022-W30","202"
"Viikinmäki","2022-07-31","2022-W30","2 650"
"Viinikanlahti","2022-07-31","2022-W30","571"
"Aggregated","2022-07-24","2022-W29","7 817"
"Alakorkalo","2022-07-24","2022-W29","123"
"Alheda","2022-07-24","2022-W29","104"
"Kakolanmäki","2022-07-24","2022-W29","818"
"Kuhasalo","2022-07-24","2022-W29","716"
"Lehtoniemi","2022-07-24","2022-W29","375"
"Luotsinmäki","2022-07-24","2022-W29","352"
"Mäkikylä","2022-07-24","2022-W29","279"
"Nenäinniemi","2022-07-24","2022-W29","499"
"Paroinen","2022-07-24","2022-W29","216"
"Pått","2022-07-24","2022-W29","170"
"Seinäjoenkeskuspuhdistamo","2022-07-24","2022-W29","170"
"Suomenoja","2022-07-24","2022-W29","1 363"
"Taskila","2022-07-24","2022-W29","547"
"Toikansuo","2022-07-24","2022-W29","221"
"Viikinmäki","2022-07-24","2022-W29","2 715"
"Viinikanlahti","2022-07-24","2022-W29","616"
"Aggregated","2022-07-17","2022-W28","6 691"
"Alakorkalo","2022-07-17","2022-W28","92"
"Alheda","2022-07-17","2022-W28","92"
"Kakolanmäki","2022-07-17","2022-W28","670"
"Kuhasalo","2022-07-17","2022-W28","352"
"Lehtoniemi","2022-07-17","2022-W28","346"
"Luotsinmäki","2022-07-17","2022-W28","239"
"Mäkikylä","2022-07-17","2022-W28","270"
"Nenäinniemi","2022-07-17","2022-W28","409"
"Paroinen","2022-07-17","2022-W28","230"
"Pått","2022-07-17","2022-W28","155"
"Seinäjoenkeskuspuhdistamo","2022-07-17","2022-W28","174"
"Suomenoja","2022-07-17","2022-W28","1 247"
"Taskila","2022-07-17","2022-W28","459"
"Toikansuo","2022-07-17","2022-W28","213"
"Viikinmäki","2022-07-17","2022-W28","2 472"
"Viinikanlahti","2022-07-17","2022-W28","580"
"Aggregated","2022-07-10","2022-W27","5 703"
"Alakorkalo","2022-07-10","2022-W27","80"
"Alheda","2022-07-10","2022-W27","55"
"Kakolanmäki","2022-07-10","2022-W27","469"
"Kuhasalo","2022-07-10","2022-W27","326"
"Lehtoniemi","2022-07-10","2022-W27","292"
"Luotsinmäki","2022-07-10","2022-W27","195"
"Mäkikylä","2022-07-10","2022-W27","234"
"Nenäinniemi","2022-07-10","2022-W27","300"
"Paroinen","2022-07-10","2022-W27","167"
"Pått","2022-07-10","2022-W27","138"
"Seinäjoenkeskuspuhdistamo","2022-07-10","2022-W27","207"
"Suomenoja","2022-07-10","2022-W27","1 084"
"Taskila","2022-07-10","2022-W27","378"
"Toikansuo","2022-07-10","2022-W27","205"
"Viikinmäki","2022-07-10","2022-W27","2 281"
"Viinikanlahti","2022-07-10","2022-W27","435"
"Aggregated","2022-07-03","2022-W26","5 912"
"Alakorkalo","2022-07-03","2022-W26","94"
"Alheda","2022-07-03","2022-W26","55"
"Kakolanmäki","2022-07-03","2022-W26","505"
"Kuhasalo","2022-07-03","2022-W26","337"
"Lehtoniemi","2022-07-03","2022-W26","256"
"Luotsinmäki","2022-07-03","2022-W26","166"
"Mäkikylä","2022-07-03","2022-W26","220"
"Nenäinniemi","2022-07-03","2022-W26","322"
"Paroinen","2022-07-03","2022-W26","135"
"Pått","2022-07-03","2022-W26","124"
"Seinäjoenkeskuspuhdistamo","2022-07-03","2022-W26","88"
"Suomenoja","2022-07-03","2022-W26","1 135"
"Taskila","2022-07-03","2022-W26","360"
"Toikansuo","2022-07-03","2022-W26","209"
"Viikinmäki","2022-07-03","2022-W26","2 495"
"Viinikanlahti","2022-07-03","2022-W26","378"
"Aggregated","2022-06-26","2022-W25","5 225"
"Alakorkalo","2022-06-26","2022-W25","71"
"Alheda","2022-06-26","2022-W25","37"
"Kakolanmäki","2022-06-26","2022-W25","425"
"Kuhasalo","2022-06-26","2022-W25","227"
"Lehtoniemi","2022-06-26","2022-W25","194"
"Luotsinmäki","2022-06-26","2022-W25","168"
"Mäkikylä","2022-06-26","2022-W25","180"
"Nenäinniemi","2022-06-26","2022-W25","253"
"Paroinen","2022-06-26","2022-W25","111"
"Pått","2022-06-26","2022-W25","83"
"Seinäjoenkeskuspuhdistamo","2022-06-26","2022-W25","75"
"Suomenoja","2022-06-26","2022-W25","1 150"
"Taskila","2022-06-26","2022-W25","301"
"Toikansuo","2022-06-26","2022-W25","158"
"Viikinmäki","2022-06-26","2022-W25","2 227"
"Viinikanlahti","2022-06-26","2022-W25","364"
"Aggregated","2022-06-19","2022-W24","5 335"
"Alakorkalo","2022-06-19","2022-W24","57"
"Alheda","2022-06-19","2022-W24","25"
"Kakolanmäki","2022-06-19","2022-W24","448"
"Kuhasalo","2022-06-19","2022-W24","227"
"Lehtoniemi","2022-06-19","2022-W24","223"
"Luotsinmäki","2022-06-19","2022-W24","200"
"Mäkikylä","2022-06-19","2022-W24","161"
"Nenäinniemi","2022-06-19","2022-W24","309"
"Paroinen","2022-06-19","2022-W24","128"
"Pått","2022-06-19","2022-W24","94"
"Seinäjoenkeskuspuhdistamo","2022-06-19","2022-W24","59"
"Suomenoja","2022-06-19","2022-W24","1 160"
"Taskila","2022-06-19","2022-W24","306"
"Toikansuo","2022-06-19","2022-W24","141"
"Viikinmäki","2022-06-19","2022-W24","2 212"
"Viinikanlahti","2022-06-19","2022-W24","356"
"Aggregated","2022-06-12","2022-W23","5 203"
"Alakorkalo","2022-06-12","2022-W23","63"
"Alheda","2022-06-12","2022-W23","38"
"Kakolanmäki","2022-06-12","2022-W23","410"
"Kuhasalo","2022-06-12","2022-W23","192"
"Lehtoniemi","2022-06-12","2022-W23","195"
"Luotsinmäki","2022-06-12","2022-W23","196"
"Mäkikylä","2022-06-12","2022-W23","153"
"Nenäinniemi","2022-06-12","2022-W23","239"
"Paroinen","2022-06-12","2022-W23","127"
"Pått","2022-06-12","2022-W23","113"
"Seinäjoenkeskuspuhdistamo","2022-06-12","2022-W23","85"
"Suomenoja","2022-06-12","2022-W23","1 060"
"Taskila","2022-06-12","2022-W23","387"
"Toikansuo","2022-06-12","2022-W23","141"
"Viikinmäki","2022-06-12","2022-W23","2 193"
"Viinikanlahti","2022-06-12","2022-W23","414"
"Aggregated","2022-06-05","2022-W22","5 114"
"Alakorkalo","2022-06-05","2022-W22","66"
"Alheda","2022-06-05","2022-W22","35"
"Kakolanmäki","2022-06-05","2022-W22","433"
"Kuhasalo","2022-06-05","2022-W22","161"
"Lehtoniemi","2022-06-05","2022-W22","231"
"Luotsinmäki","2022-06-05","2022-W22","229"
"Mäkikylä","2022-06-05","2022-W22","173"
"Nenäinniemi","2022-06-05","2022-W22","238"
"Paroinen","2022-06-05","2022-W22","139"
"Pått","2022-06-05","2022-W22","122"
"Seinäjoenkeskuspuhdistamo","2022-06-05","2022-W22","88"
"Suomenoja","2022-06-05","2022-W22","1 031"
"Taskila","2022-06-05","2022-W22","450"
"Toikansuo","2022-06-05","2022-W22","142"
"Viikinmäki","2022-06-05","2022-W22","1 925"
"Viinikanlahti","2022-06-05","2022-W22","521"
"Aggregated","2022-05-29","2022-W21","4 843"
"Alakorkalo","2022-05-29","2022-W21","77"
"Alheda","2022-05-29","2022-W21","46"
"Kakolanmäki","2022-05-29","2022-W21","443"
"Kuhasalo","2022-05-29","2022-W21","195"
"Lehtoniemi","2022-05-29","2022-W21","220"
"Luotsinmäki","2022-05-29","2022-W21","188"
"Mäkikylä","2022-05-29","2022-W21","148"
"Nenäinniemi","2022-05-29","2022-W21","242"
"Paroinen","2022-05-29","2022-W21","106"
"Pått","2022-05-29","2022-W21","140"
"Seinäjoenkeskuspuhdistamo","2022-05-29","2022-W21","75"
"Suomenoja","2022-05-29","2022-W21","889"
"Taskila","2022-05-29","2022-W21","507"
"Toikansuo","2022-05-29","2022-W21","164"
"Viikinmäki","2022-05-29","2022-W21","1 745"
"Viinikanlahti","2022-05-29","2022-W21","463"
"Aggregated","2022-05-22","2022-W20","4 794"
"Alakorkalo","2022-05-22","2022-W20","78"
"Alheda","2022-05-22","2022-W20","59"
"Kakolanmäki","2022-05-22","2022-W20","525"
"Kuhasalo","2022-05-22","2022-W20","226"
"Lehtoniemi","2022-05-22","2022-W20","225"
"Luotsinmäki","2022-05-22","2022-W20","189"
"Mäkikylä","2022-05-22","2022-W20","158"
"Nenäinniemi","2022-05-22","2022-W20","294"
"Paroinen","2022-05-22","2022-W20","104"
"Pått","2022-05-22","2022-W20","159"
"Seinäjoenkeskuspuhdistamo","2022-05-22","2022-W20","111"
"Suomenoja","2022-05-22","2022-W20","832"
"Taskila","2022-05-22","2022-W20","512"
"Toikansuo","2022-05-22","2022-W20","200"
"Viikinmäki","2022-05-22","2022-W20","1 642"
"Viinikanlahti","2022-05-22","2022-W20","379"
"Aggregated","2022-05-15","2022-W19","5 892"
"Alakorkalo","2022-05-15","2022-W19","116"
"Alheda","2022-05-15","2022-W19","78"
"Kakolanmäki","2022-05-15","2022-W19","760"
"Kuhasalo","2022-05-15","2022-W19","245"
"Lehtoniemi","2022-05-15","2022-W19","283"
"Luotsinmäki","2022-05-15","2022-W19","245"
"Mäkikylä","2022-05-15","2022-W19","222"
"Nenäinniemi","2022-05-15","2022-W19","386"
"Paroinen","2022-05-15","2022-W19","112"
"Pått","2022-05-15","2022-W19","143"
"Seinäjoenkeskuspuhdistamo","2022-05-15","2022-W19","128"
"Suomenoja","2022-05-15","2022-W19","936"
"Taskila","2022-05-15","2022-W19","684"
"Toikansuo","2022-05-15","2022-W19","238"
"Viikinmäki","2022-05-15","2022-W19","2 006"
"Viinikanlahti","2022-05-15","2022-W19","449"
"Aggregated","2022-05-08","2022-W18","7 608"
"Alakorkalo","2022-05-08","2022-W18","123"
"Alheda","2022-05-08","2022-W18","71"
"Kakolanmäki","2022-05-08","2022-W18","1 044"
"Kuhasalo","2022-05-08","2022-W18","320"
"Lehtoniemi","2022-05-08","2022-W18","295"
"Luotsinmäki","2022-05-08","2022-W18","329"
"Mäkikylä","2022-05-08","2022-W18","311"
"Nenäinniemi","2022-05-08","2022-W18","487"
"Paroinen","2022-05-08","2022-W18","124"
"Pått","2022-05-08","2022-W18","139"
"Seinäjoenkeskuspuhdistamo","2022-05-08","2022-W18","134"
"Suomenoja","2022-05-08","2022-W18","1 260"
"Taskila","2022-05-08","2022-W18","922"
"Toikansuo","2022-05-08","2022-W18","343"
"Viikinmäki","2022-05-08","2022-W18","2 540"
"Viinikanlahti","2022-05-08","2022-W18","602"
"Aggregated","2022-05-01","2022-W17","8 177"
"Alakorkalo","2022-05-01","2022-W17","93"
"Alheda","2022-05-01","2022-W17","113"
"Kakolanmäki","2022-05-01","2022-W17","1 223"
"Kuhasalo","2022-05-01","2022-W17","354"
"Lehtoniemi","2022-05-01","2022-W17","318"
"Luotsinmäki","2022-05-01","2022-W17","294"
"Mäkikylä","2022-05-01","2022-W17","300"
"Nenäinniemi","2022-05-01","2022-W17","508"
"Paroinen","2022-05-01","2022-W17","139"
"Pått","2022-05-01","2022-W17","200"
"Seinäjoenkeskuspuhdistamo","2022-05-01","2022-W17","148"
"Suomenoja","2022-05-01","2022-W17","1 378"
"Taskila","2022-05-01","2022-W17","752"
"Toikansuo","2022-05-01","2022-W17","377"
"Viikinmäki","2022-05-01","2022-W17","2 776"
"Viinikanlahti","2022-05-01","2022-W17","669"
"Aggregated","2022-04-24","2022-W16","11 425"
"Alakorkalo","2022-04-24","2022-W16","98"
"Alheda","2022-04-24","2022-W16","132"
"Kakolanmäki","2022-04-24","2022-W16","1 453"
"Kuhasalo","2022-04-24","2022-W16","505"
"Lehtoniemi","2022-04-24","2022-W16","446"
"Luotsinmäki","2022-04-24","2022-W16","414"
"Mäkikylä","2022-04-24","2022-W16","450"
"Nenäinniemi","2022-04-24","2022-W16","604"
"Paroinen","2022-04-24","2022-W16","233"
"Pått","2022-04-24","2022-W16","317"
"Seinäjoenkeskuspuhdistamo","2022-04-24","2022-W16","194"
"Suomenoja","2022-04-24","2022-W16","1 922"
"Taskila","2022-04-24","2022-W16","1 248"
"Toikansuo","2022-04-24","2022-W16","509"
"Viikinmäki","2022-04-24","2022-W16","3 985"
"Viinikanlahti","2022-04-24","2022-W16","945"
"Aggregated","2022-04-17","2022-W15","12 357"
"Alakorkalo","2022-04-17","2022-W15","111"
"Alheda","2022-04-17","2022-W15","192"
"Kakolanmäki","2022-04-17","2022-W15","1 350"
"Kuhasalo","2022-04-17","2022-W15","606"
"Lehtoniemi","2022-04-17","2022-W15","459"
"Luotsinmäki","2022-04-17","2022-W15","443"
"Mäkikylä","2022-04-17","2022-W15","545"
"Nenäinniemi","2022-04-17","2022-W15","594"
"Paroinen","2022-04-17","2022-W15","268"
"Pått","2022-04-17","2022-W15","319"
"Seinäjoenkeskuspuhdistamo","2022-04-17","2022-W15","204"
"Suomenoja","2022-04-17","2022-W15","2 199"
"Taskila","2022-04-17","2022-W15","1 291"
"Toikansuo","2022-04-17","2022-W15","640"
"Viikinmäki","2022-04-17","2022-W15","4 521"
"Viinikanlahti","2022-04-17","2022-W15","1 018"
"Aggregated","2022-04-10","2022-W14","15 849"
"Alakorkalo","2022-04-10","2022-W14","168"
"Alheda","2022-04-10","2022-W14","263"
"Kakolanmäki","2022-04-10","2022-W14","1 332"
"Kuhasalo","2022-04-10","2022-W14","651"
"Lehtoniemi","2022-04-10","2022-W14","568"
"Luotsinmäki","2022-04-10","2022-W14","659"
"Mäkikylä","2022-04-10","2022-W14","819"
"Nenäinniemi","2022-04-10","2022-W14","816"
"Paroinen","2022-04-10","2022-W14","396"
"Pått","2022-04-10","2022-W14","593"
"Seinäjoenkeskuspuhdistamo","2022-04-10","2022-W14","252"
"Suomenoja","2022-04-10","2022-W14","3 035"
"Taskila","2022-04-10","2022-W14","1 552"
"Toikansuo","2022-04-10","2022-W14","700"
"Viikinmäki","2022-04-10","2022-W14","5 918"
