"Date of sample","Treatment plant","Location of treatment plant","Number of residents","Inflow","Method","Uncertainties","Coronavirus result from the sample","Normalized RNA count"
"2025-02-10","Aggregated","Aggregated","","","dPCR A","","","15351"
"2025-02-10","Viikinmäki","Helsinki","910000","280833","dPCR A","","Detected","13328"
"2025-02-10","Kuhasalo","Joensuu","98000","15148","dPCR A","","Detected","7733"
"2025-02-10","Lehtoniemi","Kuopio","95400","14243","dPCR A","","Detected","11231"
"2025-02-10","Taskila","Oulu","200000","39574","dPCR A","","Detected","11434"
"2025-02-10","Alakorkalo","Rovaniemi","55000","16839","dPCR A","","Detected","19987"
"2025-02-10","Viinikanlahti","Tampere","200000","70505","dPCR A","","Detected","19197"
"2025-02-10","Kakolanmäki","Turku","300000","85690","dPCR A","","Detected","25742"
"2025-02-10","Pått","Vaasa","69500","16309","dPCR A","","Detected","9923"
"2025-02-03","Aggregated","Aggregated","","","dPCR A","","","26860"
"2025-02-03","Viikinmäki","Helsinki","910000","349692","dPCR A","","Detected","28316"
"2025-02-03","Kuhasalo","Joensuu","98000","16172","dPCR A","","Detected","20357"
"2025-02-03","Lehtoniemi","Kuopio","95400","14416","dPCR A","","Detected","24013"
"2025-02-03","Taskila","Oulu","200000","37126","dPCR A","","Detected","17766"
"2025-02-03","Alakorkalo","Rovaniemi","55000","15852","dPCR A","","Detected","19265"
"2025-02-03","Viinikanlahti","Tampere","200000","83887","dPCR A","","Detected","26868"
"2025-02-03","Kakolanmäki","Turku","300000","112420","dPCR A","","Detected","37125"
"2025-02-03","Pått","Vaasa","69500","17360","dPCR A","","Detected","8713"
"2025-01-20","Aggregated","Aggregated","","","dPCR A","","","46362"
"2025-01-20","Viikinmäki","Helsinki","910000","323470","dPCR A","","Detected","43987"
"2025-01-20","Kuhasalo","Joensuu","98000","14905","dPCR A","","Detected","41211"
"2025-01-20","Lehtoniemi","Kuopio","95400","13968","dPCR A","","Detected","54578"
"2025-01-20","Taskila","Oulu","200000","45597","dPCR A","","Detected","27362"
"2025-01-20","Alakorkalo","Rovaniemi","55000","15839","dPCR A","","Detected","54045"
